Transaction ID,Customer ID,Purchase Date,Product Category,Quantity,Price,Payment Method,Location
29,1216,2023-01-02 00:27:47.686768676,Toys,6,85.48,Cash,Store B
30,956,2023-01-02 01:20:12.961296129,Furniture,8,85.6,Digital Payment,Store B
31,277,2023-01-02 02:12:38.235823582,Clothing,6,445.98,Cash,Store C
32,1185,2023-01-02 03:05:03.510351035,Toys,4,42.64,Credit Card,Store B
33,460,2023-01-02 03:57:28.784878487,Clothing,4,401.75,Digital Payment,Store D
34,1338,2023-01-02 04:49:54.059405940,Clothing,9,120.62,Credit Card,Store D
35,22,2023-01-02 05:42:19.333933393,Furniture,6,236.87,Cash,Store A
36,253,2023-01-02 06:34:44.608460846,Furniture,8,458.4,Credit Card,Store A
37,748,2023-01-02 07:27:09.882988298,Electronics,8,295.04,Cash,Store C
38,857,2023-01-02 08:19:35.157515751,Toys,7,109.01,Digital Payment,Store B
39,1585,2023-01-02 09:12:00.432043204,Toys,3,145.62,Cash,Store C
40,475,2023-01-02 10:04:25.706570657,Toys,1,460.62,Cash,Store C
41,1083,2023-01-02 10:56:50.981098109,Groceries,5,216.44,Digital Payment,Store D
42,511,2023-01-02 11:49:16.255625562,Clothing,2,295.56,Digital Payment,Store B
43,1706,2023-01-02 12:41:41.530153015,Furniture,2,232.67,Credit Card,Store D
44,1500,2023-01-02 13:34:06.804680468,Toys,7,192.33,Cash,Store D
45,700,2023-01-02 14:26:32.079207920,Electronics,3,115.52,Cash,Store A
46,976,2023-01-02 15:18:57.353735373,Toys,8,344.66,Credit Card,Store C
47,1807,2023-01-02 16:11:22.628262826,Clothing,9,360.53,Cash,Store D
48,190,2023-01-02 17:03:47.902790279,Clothing,8,141.07,Cash,Store A
49,958,2023-01-02 17:56:13.177317731,Furniture,6,395.56,Digital Payment,Store A
50,687,2023-01-02 18:48:38.451845184,Groceries,5,427.99,Digital Payment,Store B
51,958,2023-01-02 19:41:03.726372637,Furniture,3,460.73,Digital Payment,Store B
52,563,2023-01-02 20:33:29.000900090,Toys,3,84.8,Credit Card,Store D
53,1900,2023-01-02 21:25:54.275427542,Electronics,7,155.44,Digital Payment,Store A
54,1591,2023-01-02 22:18:19.549954995,Furniture,5,430.87,Credit Card,Store A
55,1268,2023-01-02 23:10:44.824482448,Groceries,6,103.28,Digital Payment,Store A
56,832,2023-01-03 00:03:10.099009900,Furniture,6,6.72,Cash,Store C
57,1529,2023-01-03 00:55:35.373537353,Clothing,9,436.06,Cash,Store A
58,1155,2023-01-03 01:48:00.648064806,Toys,1,166.59,Digital Payment,Store C
59,1509,2023-01-03 02:40:25.922592259,Toys,8,210.18,Digital Payment,Store B
60,1843,2023-01-03 03:32:51.197119711,Toys,5,225.94,Credit Card,Store D
61,647,2023-01-03 04:25:16.471647164,Toys,6,424.9,Cash,Store B
62,21,2023-01-03 05:17:41.746174617,Toys,6,172.26,Digital Payment,Store D
63,841,2023-01-03 06:10:07.020702070,Toys,1,446.68,Digital Payment,Store A
64,167,2023-01-03 07:02:32.295229522,Electronics,3,310.38,Cash,Store D
65,1298,2023-01-03 07:54:57.569756975,Groceries,6,266.01,Digital Payment,Store D
66,388,2023-01-03 08:47:22.844284428,Toys,9,166.18,Cash,Store B
67,601,2023-01-03 09:39:48.118811881,Groceries,6,125.64,Digital Payment,Store D
68,316,2023-01-03 10:32:13.393339333,Toys,6,313.91,Cash,Store A
69,14,2023-01-03 11:24:38.667866786,Furniture,1,226.21,Credit Card,Store C
70,242,2023-01-03 12:17:03.942394239,Toys,9,455.71,Digital Payment,Store A
71,777,2023-01-03 13:09:29.216921692,Clothing,4,248.36,Digital Payment,Store D
72,1370,2023-01-03 14:01:54.491449144,Electronics,2,258.34,Digital Payment,Store B
73,565,2023-01-03 14:54:19.765976597,Furniture,1,211.28,Credit Card,Store A
74,898,2023-01-03 15:46:45.040504050,Furniture,3,395.69,Digital Payment,Store D
75,1364,2023-01-03 16:39:10.315031503,Clothing,3,215.3,Digital Payment,Store B
76,92,2023-01-03 17:31:35.589558955,Toys,5,138.32,Cash,Store C
77,1391,2023-01-03 18:24:00.864086408,Electronics,1,431.71,Digital Payment,Store B
78,956,2023-01-03 19:16:26.138613861,Furniture,7,300.43,Digital Payment,Store D
79,1479,2023-01-03 20:08:51.413141314,Electronics,1,297.8,Cash,Store B
80,1452,2023-01-03 21:01:16.687668766,Furniture,4,307.36,Credit Card,Store D
81,509,2023-01-03 21:53:41.962196219,Toys,6,360.83,Credit Card,Store B
82,776,2023-01-03 22:46:07.236723672,Furniture,1,159.97,Cash,Store B
83,1967,2023-01-03 23:38:32.511251125,Furniture,7,21.75,Credit Card,Store B
84,35,2023-01-04 00:30:57.785778577,Groceries,7,406.24,Credit Card,Store D
85,206,2023-01-04 01:23:23.060306030,Toys,3,68.81,Digital Payment,Store B
86,1105,2023-01-04 02:15:48.334833483,Clothing,4,362.3,Digital Payment,Store D
87,1956,2023-01-04 03:08:13.609360936,Clothing,6,45.75,Digital Payment,Store A
88,1586,2023-01-04 04:00:38.883888388,Toys,7,190.78,Credit Card,Store C
89,1896,2023-01-04 04:53:04.158415841,Clothing,4,36.2,Digital Payment,Store A
90,1412,2023-01-04 05:45:29.432943294,Toys,9,263.5,Credit Card,Store C
91,1026,2023-01-04 06:37:54.707470747,Clothing,9,328.3,Digital Payment,Store D
92,1022,2023-01-04 07:30:19.981998199,Groceries,9,89.86,Credit Card,Store A
93,1414,2023-01-04 08:22:45.256525652,Clothing,6,188.96,Cash,Store C
94,566,2023-01-04 09:15:10.531053105,Furniture,2,465.47,Cash,Store C
95,1130,2023-01-04 10:07:35.805580558,Toys,2,223.98,Digital Payment,Store A
96,1796,2023-01-04 11:00:01.080108010,Electronics,4,402.26,Credit Card,Store A
97,1846,2023-01-04 11:52:26.354635463,Electronics,9,463.96,Cash,Store D
98,1501,2023-01-04 12:44:51.629162916,Toys,3,487.3,Cash,Store C
99,703,2023-01-04 13:37:16.903690369,Groceries,6,449.67,Digital Payment,Store D
100,402,2023-01-04 14:29:42.178217821,Clothing,2,162.12,Digital Payment,Store D
101,730,2023-01-04 15:22:07.452745274,Groceries,1,481.47,Credit Card,Store B
102,1580,2023-01-04 16:14:32.727272727,Electronics,5,407.14,Cash,Store D
103,162,2023-01-04 17:06:58.001800180,Toys,8,419.4,Credit Card,Store C
104,202,2023-01-04 17:59:23.276327632,Toys,2,12.51,Credit Card,Store B
105,1982,2023-01-04 18:51:48.550855085,Groceries,9,477.35,Digital Payment,Store D
106,996,2023-01-04 19:44:13.825382538,Groceries,8,390.15,Credit Card,Store D
107,270,2023-01-04 20:36:39.099909991,Clothing,3,385.14,Credit Card,Store C
108,1887,2023-01-04 21:29:04.374437443,Furniture,1,45.35,Cash,Store B
109,816,2023-01-04 22:21:29.648964896,Furniture,4,120.12,Credit Card,Store A
110,1295,2023-01-04 23:13:54.923492349,Clothing,8,481.32,Cash,Store A
111,456,2023-01-05 00:06:20.198019801,Furniture,3,252.84,Cash,Store B
112,1486,2023-01-05 00:58:45.472547254,Electronics,2,201.94,Credit Card,Store B
113,1751,2023-01-05 01:51:10.747074707,Furniture,7,420.77,Credit Card,Store B
114,1276,2023-01-05 02:43:36.021602160,Clothing,4,48.23,Cash,Store B
115,1017,2023-01-05 03:36:01.296129612,Furniture,6,211.39,Credit Card,Store A
116,1726,2023-01-05 04:28:26.570657065,Toys,5,190.97,Cash,Store D
117,296,2023-01-05 05:20:51.845184518,Groceries,2,178.18,Credit Card,Store C
118,1749,2023-01-05 06:13:17.119711971,Electronics,2,157.31,Cash,Store A
119,720,2023-01-05 07:05:42.394239423,Toys,9,108.99,Cash,Store C
120,1773,2023-01-05 07:58:07.668766876,Toys,2,90.59,Digital Payment,Store A
121,338,2023-01-05 08:50:32.943294329,Clothing,8,322.0,Credit Card,Store B
122,879,2023-01-05 09:42:58.217821782,Groceries,8,460.1,Cash,Store A
123,1077,2023-01-05 10:35:23.492349234,Groceries,1,256.88,Cash,Store A
124,792,2023-01-05 11:27:48.766876687,Electronics,1,152.5,Credit Card,Store B
125,1946,2023-01-05 12:20:14.041404140,Clothing,4,83.78,Credit Card,Store D
126,217,2023-01-05 13:12:39.315931593,Electronics,2,415.92,Credit Card,Store B
127,764,2023-01-05 14:05:04.590459045,Furniture,1,485.89,Digital Payment,Store D
128,188,2023-01-05 14:57:29.864986498,Toys,9,177.83,Credit Card,Store A
129,380,2023-01-05 15:49:55.139513951,Electronics,3,149.02,Digital Payment,Store A
130,493,2023-01-05 16:42:20.414041404,Toys,1,302.74,Credit Card,Store C
131,1065,2023-01-05 17:34:45.688568856,Clothing,2,388.79,Digital Payment,Store C
132,1181,2023-01-05 18:27:10.963096309,Furniture,8,230.42,Credit Card,Store A
133,15,2023-01-05 19:19:36.237623762,Clothing,5,316.89,Digital Payment,Store C
134,1837,2023-01-05 20:12:01.512151215,Furniture,7,359.69,Cash,Store D
135,65,2023-01-05 21:04:26.786678667,Furniture,6,480.49,Digital Payment,Store B
136,1881,2023-01-05 21:56:52.061206120,Toys,1,86.69,Digital Payment,Store A
137,1863,2023-01-05 22:49:17.335733573,Clothing,6,498.7,Cash,Store A
138,521,2023-01-05 23:41:42.610261026,Clothing,7,199.12,Credit Card,Store C
139,1368,2023-01-06 00:34:07.884788478,Electronics,4,362.98,Cash,Store A
140,1153,2023-01-06 01:26:33.159315931,Clothing,8,288.35,Cash,Store A
141,648,2023-01-06 02:18:58.433843384,Electronics,8,245.9,Cash,Store D
142,1496,2023-01-06 03:11:23.708370837,Groceries,7,350.55,Digital Payment,Store D
143,1087,2023-01-06 04:03:48.982898289,Groceries,2,200.9,Cash,Store B
144,1163,2023-01-06 04:56:14.257425742,Groceries,6,67.42,Credit Card,Store A
145,1523,2023-01-06 05:48:39.531953195,Clothing,6,247.0,Digital Payment,Store C
146,593,2023-01-06 06:41:04.806480648,Clothing,7,263.35,Digital Payment,Store B
147,392,2023-01-06 07:33:30.081008100,Electronics,6,104.94,Cash,Store C
148,1699,2023-01-06 08:25:55.355535553,Furniture,2,468.13,Digital Payment,Store A
149,419,2023-01-06 09:18:20.630063006,Electronics,8,117.6,Credit Card,Store C
150,289,2023-01-06 10:10:45.904590459,Groceries,4,207.57,Digital Payment,Store C
151,379,2023-01-06 11:03:11.179117911,Electronics,9,81.69,Cash,Store B
152,1797,2023-01-06 11:55:36.453645364,Furniture,8,270.22,Cash,Store A
153,1514,2023-01-06 12:48:01.728172817,Clothing,3,157.28,Cash,Store B
154,231,2023-01-06 13:40:27.002700270,Electronics,3,247.19,Digital Payment,Store A
155,1018,2023-01-06 14:32:52.277227722,Groceries,8,116.19,Cash,Store D
156,41,2023-01-06 15:25:17.551755175,Groceries,2,31.62,Digital Payment,Store B
157,1052,2023-01-06 16:17:42.826282628,Clothing,9,390.72,Cash,Store A
158,135,2023-01-06 17:10:08.100810081,Electronics,4,322.34,Cash,Store D
159,201,2023-01-06 18:02:33.375337533,Furniture,6,173.67,Cash,Store D
160,1864,2023-01-06 18:54:58.649864986,Clothing,3,28.51,Credit Card,Store D
161,780,2023-01-06 19:47:23.924392439,Electronics,3,433.46,Credit Card,Store B
162,930,2023-01-06 20:39:49.198919891,Toys,3,89.05,Cash,Store D
163,1057,2023-01-06 21:32:14.473447344,Groceries,2,465.72,Cash,Store A
164,1072,2023-01-06 22:24:39.747974797,Furniture,8,241.9,Digital Payment,Store B
165,503,2023-01-06 23:17:05.022502250,Furniture,9,173.49,Digital Payment,Store C
166,407,2023-01-07 00:09:30.297029702,Furniture,8,372.17,Credit Card,Store D
167,1598,2023-01-07 01:01:55.571557155,Groceries,3,439.04,Digital Payment,Store B
168,1752,2023-01-07 01:54:20.846084608,Electronics,7,188.5,Digital Payment,Store C
169,805,2023-01-07 02:46:46.120612061,Clothing,2,206.64,Digital Payment,Store B
170,99,2023-01-07 03:39:11.395139513,Electronics,4,219.41,Digital Payment,Store D
171,684,2023-01-07 04:31:36.669666966,Clothing,6,461.55,Credit Card,Store D
172,1896,2023-01-07 05:24:01.944194419,Furniture,5,347.82,Credit Card,Store C
173,726,2023-01-07 06:16:27.218721872,Electronics,9,127.58,Digital Payment,Store A
174,1571,2023-01-07 07:08:52.493249324,Furniture,4,96.57,Digital Payment,Store D
175,961,2023-01-07 08:01:17.767776777,Toys,5,119.03,Credit Card,Store C
176,1763,2023-01-07 08:53:43.042304230,Furniture,4,135.46,Cash,Store D
177,613,2023-01-07 09:46:08.316831683,Furniture,8,118.94,Digital Payment,Store A
178,1967,2023-01-07 10:38:33.591359135,Clothing,8,330.96,Cash,Store C
179,1486,2023-01-07 11:30:58.865886588,Toys,3,62.39,Digital Payment,Store A
180,643,2023-01-07 12:23:24.140414041,Furniture,1,196.74,Credit Card,Store D
181,1793,2023-01-07 13:15:49.414941494,Furniture,6,314.4,Digital Payment,Store C
182,1029,2023-01-07 14:08:14.689468946,Toys,2,148.98,Cash,Store B
183,1242,2023-01-07 15:00:39.963996399,Toys,2,37.31,Credit Card,Store A
184,503,2023-01-07 15:53:05.238523852,Electronics,3,45.5,Digital Payment,Store D
185,767,2023-01-07 16:45:30.513051305,Clothing,8,67.35,Digital Payment,Store D
186,398,2023-01-07 17:37:55.787578757,Toys,3,418.74,Credit Card,Store A
187,871,2023-01-07 18:30:21.062106210,Toys,7,330.64,Digital Payment,Store C
188,795,2023-01-07 19:22:46.336633663,Groceries,9,36.94,Credit Card,Store B
189,393,2023-01-07 20:15:11.611161116,Toys,8,198.58,Digital Payment,Store D
190,207,2023-01-07 21:07:36.885688568,Clothing,1,142.9,Credit Card,Store A
191,1039,2023-01-07 22:00:02.160216021,Furniture,7,291.13,Digital Payment,Store A
192,1882,2023-01-07 22:52:27.434743474,Furniture,7,263.79,Credit Card,Store B
193,1578,2023-01-07 23:44:52.709270927,Furniture,8,243.16,Credit Card,Store B
194,892,2023-01-08 00:37:17.983798379,Furniture,5,160.68,Digital Payment,Store D
195,1485,2023-01-08 01:29:43.258325832,Groceries,9,73.21,Credit Card,Store B
196,1715,2023-01-08 02:22:08.532853285,Toys,9,372.48,Digital Payment,Store A
197,1599,2023-01-08 03:14:33.807380738,Furniture,8,440.53,Digital Payment,Store C
198,864,2023-01-08 04:06:59.081908190,Electronics,6,472.35,Digital Payment,Store C
199,743,2023-01-08 04:59:24.356435643,Furniture,6,34.02,Credit Card,Store A
200,1265,2023-01-08 05:51:49.630963096,Toys,1,371.25,Digital Payment,Store A
201,564,2023-01-08 06:44:14.905490549,Furniture,6,364.62,Credit Card,Store A
202,1021,2023-01-08 07:36:40.180018001,Groceries,4,473.82,Cash,Store D
203,96,2023-01-08 08:29:05.454545454,Clothing,4,130.19,Cash,Store A
204,1924,2023-01-08 09:21:30.729072907,Clothing,2,372.38,Cash,Store B
205,1758,2023-01-08 10:13:56.003600360,Toys,4,32.04,Digital Payment,Store A
206,485,2023-01-08 11:06:21.278127812,Clothing,5,317.47,Credit Card,Store A
207,1431,2023-01-08 11:58:46.552655265,Clothing,5,178.67,Digital Payment,Store D
208,231,2023-01-08 12:51:11.827182718,Electronics,5,385.61,Credit Card,Store A
209,749,2023-01-08 13:43:37.101710171,Toys,4,432.34,Cash,Store B
210,1679,2023-01-08 14:36:02.376237623,Toys,1,185.59,Cash,Store B
211,1195,2023-01-08 15:28:27.650765076,Clothing,8,265.17,Cash,Store B
212,541,2023-01-08 16:20:52.925292529,Clothing,3,63.12,Digital Payment,Store A
213,1060,2023-01-08 17:13:18.199819982,Clothing,2,211.37,Digital Payment,Store D
214,525,2023-01-08 18:05:43.474347434,Groceries,9,183.6,Credit Card,Store D
215,1184,2023-01-08 18:58:08.748874887,Furniture,7,95.65,Credit Card,Store D
216,1863,2023-01-08 19:50:34.023402340,Groceries,9,447.77,Cash,Store B
217,1723,2023-01-08 20:42:59.297929793,Toys,2,78.3,Digital Payment,Store D
218,1267,2023-01-08 21:35:24.572457245,Electronics,9,319.69,Digital Payment,Store A
219,1110,2023-01-08 22:27:49.846984698,Furniture,9,445.62,Credit Card,Store A
220,1820,2023-01-08 23:20:15.121512151,Electronics,9,456.42,Credit Card,Store C
221,578,2023-01-09 00:12:40.396039603,Toys,4,397.65,Digital Payment,Store B
222,682,2023-01-09 01:05:05.670567056,Toys,3,92.19,Digital Payment,Store C
223,557,2023-01-09 01:57:30.945094509,Electronics,6,409.63,Credit Card,Store C
224,1598,2023-01-09 02:49:56.219621962,Electronics,3,141.9,Digital Payment,Store B
225,1977,2023-01-09 03:42:21.494149414,Electronics,9,461.59,Digital Payment,Store B
226,1013,2023-01-09 04:34:46.768676867,Toys,3,356.0,Cash,Store C
227,646,2023-01-09 05:27:12.043204320,Clothing,2,393.71,Digital Payment,Store A
228,796,2023-01-09 06:19:37.317731773,Electronics,8,47.09,Digital Payment,Store C
229,1052,2023-01-09 07:12:02.592259225,Furniture,6,293.47,Digital Payment,Store B
230,1644,2023-01-09 08:04:27.866786678,Toys,8,411.47,Credit Card,Store A
231,1580,2023-01-09 08:56:53.141314131,Groceries,7,431.49,Cash,Store C
232,1364,2023-01-09 09:49:18.415841584,Groceries,3,19.17,Credit Card,Store C
233,1822,2023-01-09 10:41:43.690369036,Furniture,8,469.88,Cash,Store C
234,1982,2023-01-09 11:34:08.964896489,Clothing,1,26.45,Cash,Store B
235,1355,2023-01-09 12:26:34.239423942,Electronics,1,309.19,Digital Payment,Store C
236,1664,2023-01-09 13:18:59.513951395,Toys,8,348.23,Cash,Store B
237,1530,2023-01-09 14:11:24.788478847,Electronics,9,58.14,Cash,Store A
238,1372,2023-01-09 15:03:50.063006300,Toys,6,28.77,Digital Payment,Store D
239,1497,2023-01-09 15:56:15.337533753,Groceries,5,393.53,Digital Payment,Store A
240,1255,2023-01-09 16:48:40.612061206,Electronics,2,195.41,Cash,Store C
241,190,2023-01-09 17:41:05.886588658,Furniture,9,58.02,Credit Card,Store B
242,1249,2023-01-09 18:33:31.161116111,Clothing,6,382.52,Cash,Store C
243,1409,2023-01-09 19:25:56.435643564,Furniture,8,425.34,Credit Card,Store A
244,1401,2023-01-09 20:18:21.710171017,Clothing,9,295.76,Credit Card,Store D
245,1307,2023-01-09 21:10:46.984698469,Electronics,9,84.81,Cash,Store D
246,1982,2023-01-09 22:03:12.259225922,Electronics,8,12.54,Credit Card,Store B
247,633,2023-01-09 22:55:37.533753375,Clothing,8,351.9,Cash,Store A
248,628,2023-01-09 23:48:02.808280828,Groceries,3,277.32,Credit Card,Store A
249,973,2023-01-10 00:40:28.082808280,Toys,3,327.14,Credit Card,Store B
250,1769,2023-01-10 01:32:53.357335733,Furniture,2,407.53,Cash,Store B
251,1283,2023-01-10 02:25:18.631863186,Furniture,1,219.94,Digital Payment,Store B
252,1383,2023-01-10 03:17:43.906390639,Furniture,4,66.64,Digital Payment,Store C
253,710,2023-01-10 04:10:09.180918091,Electronics,2,470.29,Cash,Store C
254,1480,2023-01-10 05:02:34.455445544,Furniture,2,274.9,Cash,Store B
255,1435,2023-01-10 05:54:59.729972997,Toys,5,309.57,Digital Payment,Store B
256,649,2023-01-10 06:47:25.004500450,Toys,4,467.04,Digital Payment,Store D
257,318,2023-01-10 07:39:50.279027902,Clothing,1,466.13,Credit Card,Store D
258,1701,2023-01-10 08:32:15.553555355,Electronics,9,288.19,Credit Card,Store C
259,1249,2023-01-10 09:24:40.828082808,Toys,4,152.32,Credit Card,Store D
260,1843,2023-01-10 10:17:06.102610261,Groceries,5,498.57,Digital Payment,Store B
261,1258,2023-01-10 11:09:31.377137713,Electronics,7,342.0,Cash,Store A
262,684,2023-01-10 12:01:56.651665166,Electronics,2,207.18,Credit Card,Store B
263,664,2023-01-10 12:54:21.926192619,Toys,8,282.12,Cash,Store D
264,1999,2023-01-10 13:46:47.200720072,Groceries,2,210.84,Digital Payment,Store C
265,1851,2023-01-10 14:39:12.475247524,Clothing,5,444.71,Credit Card,Store B
266,1398,2023-01-10 15:31:37.749774977,Toys,2,243.84,Digital Payment,Store B
267,1696,2023-01-10 16:24:03.024302430,Groceries,2,412.65,Cash,Store D
268,1632,2023-01-10 17:16:28.298829883,Electronics,4,420.89,Credit Card,Store A
269,1496,2023-01-10 18:08:53.573357335,Groceries,4,413.04,Cash,Store B
270,1257,2023-01-10 19:01:18.847884788,Electronics,8,362.48,Cash,Store C
271,1716,2023-01-10 19:53:44.122412241,Toys,6,428.16,Credit Card,Store C
272,1137,2023-01-10 20:46:09.396939693,Toys,8,196.68,Credit Card,Store A
273,1854,2023-01-10 21:38:34.671467146,Furniture,7,61.76,Digital Payment,Store D
274,1521,2023-01-10 22:30:59.945994599,Furniture,4,422.01,Credit Card,Store A
275,442,2023-01-10 23:23:25.220522052,Furniture,2,251.59,Credit Card,Store C
276,564,2023-01-11 00:15:50.495049504,Toys,9,68.05,Credit Card,Store B
277,1292,2023-01-11 01:08:15.769576957,Clothing,2,62.08,Credit Card,Store C
278,1534,2023-01-11 02:00:41.044104410,Toys,1,83.82,Credit Card,Store A
279,1831,2023-01-11 02:53:06.318631863,Groceries,8,376.73,Digital Payment,Store C
280,1410,2023-01-11 03:45:31.593159315,Toys,9,356.87,Cash,Store D
281,1411,2023-01-11 04:37:56.867686768,Toys,1,105.89,Digital Payment,Store A
282,1137,2023-01-11 05:30:22.142214221,Electronics,7,424.23,Cash,Store C
283,1637,2023-01-11 06:22:47.416741674,Electronics,2,144.24,Credit Card,Store B
284,1649,2023-01-11 07:15:12.691269126,Electronics,6,397.53,Digital Payment,Store B
285,952,2023-01-11 08:07:37.965796579,Toys,5,246.96,Cash,Store A
286,1105,2023-01-11 09:00:03.240324032,Clothing,1,367.12,Cash,Store B
287,699,2023-01-11 09:52:28.514851485,Groceries,2,193.79,Credit Card,Store A
288,113,2023-01-11 10:44:53.789378937,Groceries,2,176.83,Credit Card,Store B
289,2,2023-01-11 11:37:19.063906390,Clothing,6,421.47,Cash,Store C
290,642,2023-01-11 12:29:44.338433843,Clothing,1,22.47,Digital Payment,Store B
291,220,2023-01-11 13:22:09.612961296,Groceries,4,487.49,Cash,Store C
292,1590,2023-01-11 14:14:34.887488748,Furniture,5,325.85,Digital Payment,Store A
293,855,2023-01-11 15:07:00.162016201,Electronics,2,219.08,Digital Payment,Store B
294,1760,2023-01-11 15:59:25.436543654,Electronics,2,315.89,Cash,Store D
295,1249,2023-01-11 16:51:50.711071107,Groceries,7,65.76,Digital Payment,Store D
296,385,2023-01-11 17:44:15.985598559,Clothing,7,259.46,Cash,Store D
297,1427,2023-01-11 18:36:41.260126012,Furniture,6,492.62,Cash,Store B
298,1662,2023-01-11 19:29:06.534653465,Groceries,1,121.46,Credit Card,Store C
299,1154,2023-01-11 20:21:31.809180918,Electronics,3,362.53,Cash,Store A
300,1077,2023-01-11 21:13:57.083708370,Toys,9,220.31,Cash,Store B
301,1708,2023-01-11 22:06:22.358235823,Clothing,1,327.97,Credit Card,Store A
302,730,2023-01-11 22:58:47.632763276,Toys,2,106.42,Credit Card,Store A
303,1696,2023-01-11 23:51:12.907290729,Groceries,8,237.88,Digital Payment,Store B
304,1734,2023-01-12 00:43:38.181818181,Electronics,7,490.15,Digital Payment,Store C
305,1440,2023-01-12 01:36:03.456345634,Furniture,9,101.67,Credit Card,Store D
306,247,2023-01-12 02:28:28.730873087,Toys,4,320.04,Credit Card,Store A
307,836,2023-01-12 03:20:54.005400540,Furniture,4,289.92,Credit Card,Store A
308,1463,2023-01-12 04:13:19.279927992,Electronics,7,284.7,Cash,Store B
309,203,2023-01-12 05:05:44.554455445,Toys,1,309.49,Cash,Store A
310,1208,2023-01-12 05:58:09.828982898,Furniture,9,253.61,Cash,Store B
311,123,2023-01-12 06:50:35.103510351,Furniture,2,13.38,Credit Card,Store A
312,401,2023-01-12 07:43:00.378037803,Toys,1,450.55,Digital Payment,Store C
313,767,2023-01-12 08:35:25.652565256,Electronics,7,414.35,Digital Payment,Store C
314,294,2023-01-12 09:27:50.927092709,Furniture,6,91.21,Cash,Store D
315,280,2023-01-12 10:20:16.201620162,Groceries,3,209.57,Cash,Store D
316,1861,2023-01-12 11:12:41.476147614,Toys,1,386.42,Credit Card,Store C
317,884,2023-01-12 12:05:06.750675067,Clothing,5,490.13,Credit Card,Store D
318,1634,2023-01-12 12:57:32.025202520,Clothing,4,475.81,Digital Payment,Store D
319,198,2023-01-12 13:49:57.299729973,Electronics,5,450.18,Digital Payment,Store D
320,982,2023-01-12 14:42:22.574257425,Groceries,1,83.4,Credit Card,Store C
321,1931,2023-01-12 15:34:47.848784878,Furniture,1,457.67,Digital Payment,Store D
322,1535,2023-01-12 16:27:13.123312331,Clothing,5,439.83,Digital Payment,Store B
323,752,2023-01-12 17:19:38.397839783,Electronics,6,191.59,Cash,Store D
324,144,2023-01-12 18:12:03.672367236,Groceries,5,200.29,Credit Card,Store B
325,609,2023-01-12 19:04:28.946894689,Groceries,2,232.65,Credit Card,Store D
326,1225,2023-01-12 19:56:54.221422142,Electronics,9,329.81,Credit Card,Store B
327,1148,2023-01-12 20:49:19.495949594,Electronics,5,134.11,Cash,Store D
328,187,2023-01-12 21:41:44.770477047,Furniture,5,16.36,Credit Card,Store B
329,1350,2023-01-12 22:34:10.045004500,Electronics,9,74.91,Digital Payment,Store D
330,464,2023-01-12 23:26:35.319531953,Furniture,3,222.86,Cash,Store B
331,1373,2023-01-13 00:19:00.594059405,Furniture,5,144.59,Cash,Store C
